frontdistances1,frontdistances2,frontdistances3,frontdistances4,frontdistances5,frontdistances6,frontdistances7,frontdistances8,frontdistances9,frontdistances10,frontdistances11,frontdistances12,frontdistances13,frontdistances14,frontdistances15,frontdistances16,frontdistances17,frontdistances18,frontdistances19,Speed,accelerate,brake,steering,target speed,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.7735,7.77862,10.0,11.831,14.619,19.3185,28.7939,20.0004,200.0,57.3684,28.7938,19.3185,14.619,11.831,10.0,7.77862,5.7735,5.0,0.0,1.0,0.0,0.06969324205444705,247.14868974292662,
5.0,5.77348,7.77857,9.99992,11.8309,14.6188,19.3182,28.7931,57.3655,19.99822,57.3716,28.7946,19.3189,14.6192,11.8311,10.0001,7.77867,5.77352,5.0,0.468453,1.0,0.0,7.964781685156643E-6,115.63549983630335,
